Utterance,Emotion
..Excuse me?,Neutral
"Hey, if Little Joey's dead, then I got no reason to live!",Sad
"Joey, uh- OMnipotent.",Neutral
"You are? Ross, I'm sorry..",Sad
...Poulet passes it up to Leetch!,Joyful
Leetch spots Messier in the crease- there's the pass!,Joyful
We'll take a brief time out while Messier stops to look at some women's shoes.,Neutral
What?,Neutral
Peach pit.,Neutral
"Yes, Bunny?",Joyful
"Peach pit. That night we, uh- we had-",Neutral
-Peaches?,Joyful
"Actually, nectarines, but basically...",Joyful
Could've been a peach.,Joyful
"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.",Neutral
"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff.",Joyful
"So c'mon, you guys, tell me all the dirt!",Joyful
"Well, the biggest news is still you dumping Barry at the altar!",Joyful
Alright. Let's talk reality for a second.,Neutral
Okay.,Neutral
When are you coming home?,Neutral
"What? Guys, I'm not.",Mad
"C'mon, this is us.",Neutral
Waitressing?,Neutral
Well. Your mom didn't tell us about the blobbies.,Neutral
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",Joyful
What's that?,Neutral
"Weeeell, it's rum, and-",Neutral
Okay.,Neutral
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!",Joyful
"Uh, Rach, it's the Visa card people.",Neutral
"Oh, God, ask them what they want.",Scared
"Could you please tell me what this is in reference to? Yes, hold on. Um, they say there's been some unusual activity on your account.",Neutral
But I haven't used my card in weeks!,Scared
"Uh- Rachel has left the building, can you call back?",Neutral
"Alright, c'mon! Let's play Twister!",Sad
You should feel great about yourself! You're doing this amazing independence thing!,Joyful
"Monica, what is so amazing? I gave up, like, everything. And for what?",Sad
You are just like Jack.,Neutral
...Jack from downstairs?,Neutral
"No, Jack and the Beanstalk.",Neutral
"Ah, the other Jack.",Neutral
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..",Joyful
"Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-",Neutral
"Oh, see, Jack did love the cow.",Neutral
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",Neutral
Floopy?,Neutral
Yeah.,Neutral
"Oh, like that's a word.",Neutral
"Okay, but Monica, what if- what if it doesn't come together?",Scared
...Pheebs?,Neutral
"Oh, well... 'cause.... you just... I don't like this question.",Neutral
"Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?",Neutral
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",Mad
"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",Neutral
Pass it! Pass it!,Powerful
He's open!,Joyful
Shoot! Shoot! Shoot!,Joyful
"Hey, look, we're on that TV thing!",Joyful
'Scuse me.,Neutral
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",Mad
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",Mad
"Hold on. Fill these out, sit over there.",Mad
"Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.",Mad
"Well, you'll have to wait your turn.",Mad
"Well, how long do you think it'll be?",Neutral
Any minute now.,Mad
"Hey, this- Heyy...",Mad
Light still out?,Neutral
Yeah.,Neutral
Oh. Maybe they're- napping.,Neutral
"Oh please, they're having sex.",Joyful
Shut up!,Mad
"So, whaddya think George is like?",Neutral
I think he's shy.,Neutral
Yeah?,Neutral
"Look, it's just a little more complicated...",Scared
"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",Joyful
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",Mad
Then what?,Neutral
My first time with Carol was...,Scared
What?,Neutral
It was my first time.,Sad
With Carol? Oh.,Neutral
"So in your whole life, you've only been with one oh.",Neutral
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",Joyful
"Okay. Okay, I got one. Do you remember that vegetarian pate that I made that you loved so much?",Joyful
Uh-huh.,Neutral
"Well, unless goose is a vegetable...ha haaaah!",Joyful
"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.",Mad
What?! You slept with Jason?,Mad
You'd already broken up.,Neutral
How long?,Neutral
A couple hours.,Neutral
"Oh, that's nice!",Mad
"Okay, okay, okay, I got one! Anyway- The valentine Tommy Rollerson left in your locker was really from me.",Powerful
Excuse me?!,Mad
Hello? Like he was really gonna send you one? She was a big girl.,Joyful
"Really. Well, at least 'big girls' don't pee in their pants in seventh grade!",Mad
I was laughing! You made me laugh!,Mad
There he is! There he is!,Joyful
Where?,Neutral
He is so cute!,Joyful
"Oh, George, baby, drop the towel!",Joyful
Man. Can you believe he's only had sex with one woman?,Joyful
"I think it's great. Y'know, it's sweet, it's romantic...",Neutral
Really?,Scared
"No, you kidding? The guy's a freak..",Powerful
"Hey, buddy.",Neutral
Hi.,Mad
"Oh, that's attractive.",Joyful
"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",Joyful
"Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?",Mad
"Oh, ah- the kid has it.",Neutral
"The kid...? Excuse me, uh, that's, that's my puck.",Mad
"I found it. Finders keepers, losers weepers.",Powerful
"You gotta do it, man.",Powerful
"Oh yeah? Well, I'm rubber, you're glue, whatever can't do it. Listen, uh- gimme back my puck.",Powerful
No.,Powerful
"'Yes', how about. C'mere. Gimme!",Mad
No! No!,Mad
Hey! Hey! No rough holding in my ER!,Mad
GIVE ME MY PUCK!!,Mad
...Now that was fun.,Joyful
"Okay, Monica: Right foot red.",Joyful
"Could've played Monopoly, but nooooo.",Joyful
Thanks.,Neutral
"Okay, Pheebs: Right hand blue. Good.",Joyful
"Hello? Oh, uh, Rachel, it's the Visa card people.",Neutral
"Oh, okay. Will you take my place?",Neutral
"Alright. Yes, this is Rachel.",Neutral
"Nooo! Hello? Oh, yeah, no, I know, I-I haven't been using it much. Oh, well, thanks, but, I'm okay, really.",Neutral
Green. To the green.,Neutral
I've got magic beans. Never-never mind.,Neutral
"To the left, to the left- aww!",Joyful
Ohhh... I'm fine.,Neutral
Would you let it go? It's not that big a deal.,Mad
Come on! You guys can pee standing up.,Mad
"We can? All right, I'm tryin' that.",Peaceful
"Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care.",Mad
Multiple orgasms!,Neutral
"Monica, I'm tellin' you, this guy is perfect for you.",Joyful
Forget it. Not after your cousin who could belch the alphabet.,Mad
"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...",Joyful
"Oh, god help us.",Scared
What?,Neutral
Ugly Naked Guy's laying kitchen tile. Eww!,Mad
"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me.",Sad
What's going on here? You go out with tons of girls.,Neutral
"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",Sad
"Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel.",Neutral
"Oh. Well, hold on camper, are you sure you've thought this thing through?",Neutral
It's laundry. The thinking through is minimal.,Neutral
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Joyful
Nuh-uh.,Neutral
Yuh-huh.,Neutral
"So what're you saying here? I should shave again, pick up some wine, what?",Scared
No.,Neutral
"Oh, and uh, the fabric softener?",Neutral
"Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way.",Peaceful
There you go.,Peaceful
Thank you. So what does this Bob guy look like? Is he tall? Short?,Joyful
Yep.,Neutral
Which?,Neutral
Which what?,Neutral
"You've never met Bob, have you?",Mad
"No, but he's...",Neutral
"Hey, Joey.",Neutral
...horribly attractive. I'll be shutting up now.,Sad
Where are they? Where are they?,Scared
This is nice. We never do anything just the two of us.,Joyful
It's great. Maybe tomorrow we can rent a car and run over some puppies.,Joyful
"Eww, I don't wanna do that.",Mad
Here we go.,Neutral
"Ok, have a good break-up.",Neutral
"Hey, Janice.",Neutral
"Hey, that's not good. Can I get an espresso and a latte over here, please?",Neutral
What?,Neutral
What?,Neutral
What... did you get me there?,Neutral
I got you...these.,Neutral
Bullwinkle socks. That's so sweet.,Joyful
That's great.,Joyful
"No, no, I'm still working on mine.",Neutral
That's it?,Neutral
"Yeah, it was really hard.",Neutral
"Oh, yeah, that hug looked pretty brutal.",Neutral
"Ok, you weren't there.",Neutral
"He is so cute. So, where did you guys grow up?",Joyful
Brooklyn Heights.,Neutral
Cleveland.,Neutral
"How, how did that happen?",Neutral
Oh my god.,Scared
What?,Neutral
I suddenly had the feeling that I was falling. But I'm not.,Scared
"So, you and Angela, huh?",Joyful
Yep. Pretty much.,Joyful
"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",Joyful
"Huh, I never really noticed.",Neutral
"Oh, yeah, yeah, listen for it.",Joyful
"Monica, Monica is great.",Joyful
"Yeah, but it's not gonna last. She's too much for me in bed. Sexually.",Joyful
"I've gotta tell you, Bob is terrific.",Joyful
"Yeah, isn't he?",Neutral
You know what else? He's unbelievable in bed.,Joyful
Wow. My brother never even told me when he lost his virginity.,Joyful
Huh. That's nice.,Neutral
"Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.",Powerful
"That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.",Scared
What uh-oh?,Scared
"Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",Scared
"Ross, what's the matter?",Scared
"Nothing, nothing. Lee-lo, the laundry's done.",Mad
"Come on, show me.",Scared
"Oh, everything's pink.",Sad
"Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",Sad
Oh my god.,Scared
What?,Neutral
Hello! Were we at the same table? It's like... cocktails in Appalachia.,Neutral
"Come on, they're close.",Neutral
Close? She's got her tongue in his ear.,Powerful
"Oh, like you've never gotten a little rambunctious with Ross.",Peaceful
"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",Sad
"Well, who's to say what's true? I mean...",Neutral
"Oh my god, what were you thinking?",Mad
"All right, look, I'm not proud of this, ok? Well, maybe I am a little.",Neutral
Oh!,Neutral
Ow!,Joyful
I'm outta here.,Neutral
Really?,Neutral
"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.",Peaceful
"I'm so sorry, I can't believe I did this, but I couldn't stop laughing at your Norman Mailer story.",Scared
"Uh, waiter, one more plate of chicken wings over here.",Neutral
Ow!,Sad
"Oh, my god, I'm so sorry. Are you ok?",Scared
"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",Mad
I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,Joyful
Oh my god. How many of those have you had?,Scared
"Oh, I don't know, a million?",Scared
I'm fine.,Neutral
All right.,Neutral
I'm not fine. Here she comes.,Scared
Wait here. Breathe.,Neutral
How do you do that?,Scared
It's like a gift.,Joyful
We should always always break up together.,Joyful
"Oh, I'd like that.",Joyful
You got the clothes clean. Now that's the important part.,Neutral
"Oh, I guess. Except everything looks like jammies now.",Neutral
"Whoa, I'm sorry. Excuse me. We had this cart.",Mad
"Yeah, well, I had a 24-inch waist. You lose things. Now come on, get outta my way.",Mad
"I'm sorry, you know, maybe I wasn't being clear. Uh, this is our cart.",Mad
"Hey, hey, hey there aren't any clothes in it.",Mad
"Hey, hey, hey, hey, quit making up rules!",Mad
Let go!,Mad
"All right, listen, missy. If you want this cart, you're gonna have to take me with it!",Mad
Yes! Did you see that?,Joyful
"You were incredible! Brand new woman, ladies and gentlemen.",Joyful
I could not have done this without you.,Joyful
"Ok, um, uh, more clothes in the dryer? I'm fine, I'm fine.",Peaceful
Are you sure?,Neutral
No.,Mad
"Oh, are you sure you're ok?",Neutral
Yeah.,Neutral
Does it still hurt?,Scared
Yeah.,Joyful
Hi.,Neutral
"Hey, how'd it go?",Neutral
Excellent.,Joyful
"We ripped that couple apart, and kept the pieces for ourselves.",Neutral
"What a beautiful story. Hey, I'm fine by the way.",Mad
"Oh, I'm sorry.",Sad
Where's Chandler?,Neutral
"Oh, he needed some time to grieve.",Neutral
I'm free! I'm free!,Joyful
That oughta do it.,Neutral
"Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!",Joyful
"The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!",Joyful
"Oh, shhh, shh. Magic is about to happen.",Peaceful
"All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang...",Joyful
"Alright, alright, alright...",Neutral
Here. I need to borrow some moisturizer.,Neutral
For what?,Neutral
Whaddya think? Today's the big day!,Joyful
"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",Scared
Thank you!,Joyful
Where's Joey? His mom's on the phone.,Neutral
He's in the bathroom. I don't think you wanna go in there!,Joyful
"C'mon, we're roommates! My eyes!! My eyes!!",Scared
I warned you...,Neutral
Who is being loud?,Mad
"Oh, you got the whole night, huh?",Neutral
"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",Neutral
"Ooh, do I sense a little bit of resentment?",Neutral
"...Dammit, hire the girl! Okay, everybody ready?",Powerful
"Uh, listen, I just wanna thank you for this great opportunity.",Scared
Lose the robe.,Powerful
Me?,Scared
That would work.,Powerful
Right. Okay. Losing the robe. And the robe is lost.,Scared
"Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",Powerful
"And cut. Hey, Butt Guy, what the hell are you doing?",Mad
"Well, I'm- I'm showering.",Scared
"No, that was clenching.",Mad
"I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",Mad
I was going for quiet desperation. But if you have to ask...,Mad
"Wow, this is so cool, you guys. The entire city is blacked out!",Joyful
"Wow, you guys, this is big.",Joyful
Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,Scared
"Well, I never call me.",Neutral
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",Joyful
"Hi Mom, it's Jill.",Neutral
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",Scared
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",Neutral
Jill says vestibule... I'm going with vestibule.,Neutral
"I'm fine. No, I'm not alone... I don't know, some guy.",Neutral
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",Joyful
Hi everyone.,Neutral
"And officiating at tonight's blackout, is Rabbi Tribbiani.",Neutral
"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.",Joyful
"Eww, look. Ugly Naked Guy lit a bunch of candles.",Mad
That had to hurt!,Sad
There you go!,Joyful
You're definitely scaring here.,Scared
Would you like to call somebody?,Joyful
"Yeah, about 300 guys I went to high school with. Yeah, thanks.",Joyful
Hello?,Neutral
"Hey, it's me.",Neutral
It's Chandler! Are you OK?,Scared
"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",Sad
What?,Scared
I'm trppd... in an ATM vstbl... wth Jll Gdcr!,Scared
I have no idea what you just said.,Scared
Put Joey on the phone.,Mad
What's up man?,Neutral
I'm trppd... in an ATM vstbl... wth JLL GDCR.,Scared
"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",Joyful
